"","sample01","sample02","sample03","sample04","sample05","sample06","sample07","sample08","sample09","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71"
"PAX5",35.19,30.03,25.82,20,27.69,20,38.56,20,20,20,29.89,20,20,20,32.51,20,32.75,35.45,20,55.51,20,20,20,20,20,20,20,26.97,24.9,39.77,44.79,51.44,40.64,20,20,20,20,20,36.84,20,20,20,23.54,20,20,20,20,20,20,41.87,20,44.54,20,20,20,24.43,20,20,24.42,36.58,20,20,31.21,36.74,20,44.07,20,20,22.56,20,30.67
"PDCD1",39.1,72.29,56.12,26.67,26.54,54.28,63.83,48.02,20,20,50.21,69.57,68.78,20,33.76,61.72,141.93,85.08,20,65.79,68.13,122.89,106.27,63.67,236.47,146.48,90.39,198.27,83.3,55.07,151.75,85.99,88.24,66.24,100.32,42.98,74.18,145.45,110.52,65.66,113.97,24.82,83.61,137.84,40.85,139.34,100.02,33.33,57.17,99.7,71.11,44.54,21.05,29.01,52.37,23.53,55.13,52.43,28.09,45.36,21.69,23.89,42.06,42.4,85.14,20,38.38,20,56.4,65.23,35.78
"PDCD1LG2",37.79,28.92,24.69,20,20,50.41,42.55,51.02,41.06,50.55,64.55,37.73,37.25,59.35,38.77,189.02,199.64,79.76,173.29,191.2,64.18,76.03,85.02,70.52,47.1,33.91,46.57,20,20,20,20,20,20,124.21,119.82,193.43,148.37,166.56,100.21,43.77,99.17,50.49,59.26,20,37.33,44.42,31.83,29.88,40.84,20,20,20,22.46,20,20,22.62,20,24.61,20,20,20,29.58,20,20,20,20,20,39.24,20,20,24.54
"PDCD2",58.64,72.29,56.12,53.35,49.61,60.1,65.16,48.02,56,37.17,50.21,58.95,57.31,62.25,42.52,61.72,85.78,124.08,86.64,96.63,81.95,169.76,178.98,168.47,165.82,94.53,56.15,86.01,54.1,65.77,85.02,69.92,34.83,69,71.06,56.66,74.18,89.15,75.15,50.43,48.84,42.79,86.05,60.52,57.76,64.45,43.95,39.07,46.67,77.77,57.66,48.78,24.56,35.31,52.37,50.68,20,38.52,28.09,30.73,29.58,20,44.77,40.98,49.02,53.52,38.38,45.12,33.84,41.25,36.8
"PDGFA",33.88,20,20,30.01,23.08,20,35.9,36.01,39.2,20,20,20,20,31.85,20,20,20,20,20,20,25.67,20,27.97,30.36,26.49,25.26,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.03,20,20,20,20,20,20,20,20,20,20,20,20,25.64,35.11,28.59,22.75,20,20,20,20,33.37,20,20,20,25.56
"PDGFB",28.67,20,20,22.23,32.31,20,37.23,34.51,52.26,20,20,20,20,34.74,25.01,33.43,20,49.63,56.94,20,20,20,20,35.26,20,20,43.83,20,20,30.59,20,20,25.54,20,41.8,20,85.31,51.61,20,20,65.13,21.39,20,68.92,20,20,42.43,24.13,33.84,57.83,20,42.42,20,26.49,20,20.81,20,20,20,20,20,26.16,37.99,42.4,20,39.35,43.39,41.2,27.07,20,29.65
"PDGFRB",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,33.43,31.19,44.31,20,20,20,20,20,20,20,20,20,20,20,20,20,20.9,20,20,20,20,20,20,36.84,20,20,20,20,20,21.83,27,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,27.09,20,20,20,20,20,20
"PECAM1",248.91,223.55,215.52,260.06,305.75,267.54,277.92,217.58,332.25,371.69,302.44,187.48,180.54,370.6,347.65,345.89,229.28,225.11,482.73,398.84,230.07,212.46,300.91,227.24,326.74,200.6,201.33,161.82,212.97,203.44,156.32,166.36,169.52,234.62,345.53,627.18,337.54,194.71,352.2,284.51,259.02,500.59,326.33,247.1,388.1,255.17,278.85,285,208.85,201.39,246,301.18,185.27,230.8,205.88,258.82,141.77,138.02,87.92,125.83,122.25,205.89,227.94,210.58,182.53,207.78,208.58,190.29,174.83,134.3,231.05
"PIGR",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,42.51,34.28,24.53,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"PIK3C2G",20,20,22.45,33.34,24.23,20,20,20,20,20,20,20,20,20,20,28.29,20,171.93,79.22,20,21.72,25,134.24,84.24,43.17,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,26.87,29.26,27.61,35.26,20,20,20,20,20,20,20,20,20
"PLA2G2A",20,20,20,23.34,20,20,34.57,20,20,20,20,20,20,20,27.51,20,20,86.85,20,20,155.02,21.87,105.15,70.52,60.83,54.12,20,20,20,20,20,20,20,20,20,20,20,20,20,20,32.56,20,20,20,20,40.06,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"PLA2G2E",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"PLA2G4A",32.58,37.81,32.55,43.34,42.69,46.53,37.23,48.02,70.93,53.52,68.14,70.75,55.88,72.38,75.03,56.58,56.15,95.72,81.69,51.4,98.74,47.91,110.75,85.22,77.52,33.19,72.59,26.97,24.9,36.71,22.85,20,38.32,93.85,79.42,111.37,20,46.92,63.37,54.24,85.85,61.61,38.15,48.75,55.64,65.32,37.89,33.33,37.34,20,20,53.03,68.07,87.02,41.54,39.82,104.36,43.87,92.81,51.21,55.21,45.5,36.63,33.92,40.63,34.63,40.05,20,30.45,26.86,28.63
"PLA2G6",26.06,20,20,20,24.23,20,30.58,20,20,20,20,20,20,20,20,20,62.39,39,59.41,59.62,28.63,29.16,34.68,20,40.23,20,20,37.18,27.48,20,25.6,21.7,33.67,20,33.44,42.98,20,20,20,20,20,20,27.6,33.62,20,25.26,20,20,29.17,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"PLAU",20,25.58,20,20,20,20,20,20,20,20,20,20,20,20,20,37.29,56.15,88.63,143.58,55.51,25.67,20,22.37,25.47,23.55,20,20,20,20,20,20,20,20,85.57,20,111.37,196.59,51.61,39.79,20,38.48,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.45
"PLAUR",35.19,122.34,37.04,110.03,42.69,20,55.85,60.02,85.86,34.2,25.1,70.75,20,102.78,40.02,66.86,155.97,163.07,465.4,133.63,346.58,132.27,253.93,117.54,701.56,211.42,512.24,61.96,48.95,97.9,51.19,101.26,163.71,300.86,90.56,119.18,356.08,251.02,349.25,54.24,227.94,41.07,91.73,52.11,80.3,402.35,68.2,54.01,182.02,47.86,61.5,112.41,47.02,195.49,99.33,76.02,112.24,36.38,84.26,39.5,48.31,38.68,31.21,33.92,22.57,37.78,35.04,39.24,22.56,38.37,35.78
"PLCB1",53.43,36.7,39.29,66.68,56.54,20,59.84,55.52,46.66,62.44,39.45,49.52,38.69,55.01,51.27,27,20,20,20,20,21.72,20,20,20,20,20,20,45.19,34.35,38.24,31.08,36.97,42.96,20,30.65,20,20,20,20,28.55,20,29.95,20,42.02,30.29,23.51,20,28.73,25.67,20,20,20,20,20,20,20,20,20,20,20,20,36.4,31.21,38.16,39.99,40.93,45.05,20,36.09,35.49,30.67
"PMCH",20,20,20,24.45,20,20,30.58,20,20,20,20,20,20,20,20,29.57,20,189.66,94.07,20,58.26,117.69,300.91,299.72,69.67,21.65,43.83,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"PML",57.34,70.07,49.39,60.01,42.69,378.04,406.91,436.65,535.7,353.85,374.17,525.87,282.27,626.84,463.94,266.17,1347.58,817.13,1255.11,1278.76,471.98,323.9,304.27,262.5,754.55,121.95,299.95,188.06,149.42,105.54,206.6,192.08,101.01,1272.45,1266.48,1187.93,1060.83,1963.55,1435.31,142.73,321.19,107.82,329.58,161.37,150.73,226.43,87.9,89.64,114.34,113.66,84.56,84.84,94.74,61.8,72.24,102.26,55.13,60.99,62.28,80.47,55.21,130.82,65.12,65.01,114.81,100.74,70.08,39.24,48.5,83.46,56.23
"POU2F2",29.97,33.37,38.16,41.12,49.61,58.16,53.19,60.02,50.4,81.77,47.82,60.13,61.61,69.49,67.53,54.01,62.39,42.54,20,108.96,42.46,33.33,36.92,39.18,46.12,46.18,31.5,42.28,68.7,48.95,63.99,57.06,54.57,20,73.84,107.46,85.31,68.03,100.21,60.9,42.92,100.97,78.74,60.52,85.23,25.26,30.31,44.82,38.5,49.85,61.5,67.87,30.18,45.4,55.98,59.73,20,22.47,26.87,30.73,30.56,52.33,54.27,59.36,66.43,39.35,45.05,45.12,49.63,43.17,39.87
"PPARG",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,111.67,54.46,20,62.21,34.37,152.13,142.03,36.3,20,20,20,20,20,20.11,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"PPP1R12B",54.73,61.17,68.47,58.9,61.15,54.28,70.48,63.02,44.8,57.98,83.68,67.21,45.85,52.12,65.03,68.15,70.19,49.63,20,20,34.56,37.49,49.22,35.26,26.49,31.75,36.98,68.52,46.37,36.71,85.02,55.45,39.48,20,36.22,20,20,51.61,38.31,47.58,35.52,32.52,27.6,73.96,54.23,23.51,40.92,27.58,26.84,61.81,42.28,48.78,33.69,26.49,50.57,47.06,20,27.82,20,46.82,27.61,35.26,31.21,43.81,52.89,47.22,51.73,20,37.22,29.74,29.65
"PRDM1",260.64,325.87,288.48,194.49,196.14,331.51,408.24,396.14,276.25,344.92,500.89,564.78,372.54,454.57,495.21,522.05,715.9,448.45,453.03,437.9,238.95,374.93,283.02,232.14,371.88,484.18,343.77,284.28,182.91,160.61,303.51,245.12,124.24,400.23,462.56,404.44,448.81,605.25,545.24,278.81,482.53,239.6,257.33,401.75,311.32,337.9,242.48,186.17,277.69,344.96,246,250.28,171.93,112.25,189.62,216.28,147.68,155.14,72.05,152.16,150.84,279.83,188.59,233.19,397.96,207.78,126.82,115.75,164.68,340.56,185.04
"PRF1",959.14,1099.94,1123.6,572.36,462.67,783.22,1005.31,957.33,326.65,364.25,1368.77,1249.83,1129.07,529.85,398.92,2387.8,2132.1,1843.43,611.46,610.6,1330.04,4091.94,2248.46,2340,4859.91,6258.21,1810.64,1523.45,846.72,484.89,1843.9,1170.16,451.66,610,1691.42,677.98,582.35,1475.6,2023.29,1291.26,2610.97,782.12,1533.43,1923.04,1779.19,3211.84,1048.71,857.31,1169.11,1575.24,959.01,589.64,468.08,363.23,758.49,853.37,230.38,996.11,284.53,730.1,589.57,410.65,603.76,648.69,1493.82,642.22,525.63,445.33,574.13,1135.83,665.53
"PRG2",20,46.71,20,20,20,20,29.26,20,20,20,20,20,20,20,20,20,20,20,20,20,34.56,59.36,69.36,53.87,108.91,20,762.88,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,29.61,20,333.27,49,20,101.86,50.9,305.97,29.01,20,123.07,446.98,154.07,25.64,36.58,101.55,35.26,27.14,29.68,20,20,20,20,20,20,21.47
"PRKCA",32.58,44.49,44.9,31.12,39.23,58.16,37.23,40.51,54.13,38.66,46.62,45.98,34.39,39.09,45.02,27,71.75,67.36,64.36,57.56,28.63,53.12,51.46,59.75,44.15,51.23,45.2,40.09,33.49,32.12,52.11,50.63,25.54,20,34.83,20,20,51.61,45.68,33.3,47.36,39.36,46.27,72.28,52.83,42.67,50.01,34.48,37.34,47.86,49.97,72.11,23.86,34.05,43.34,28.05,20,23.54,20,20,23.66,20,31.21,53.7,28.38,40.93,41.72,20,32.71,29.74,33.74
"PRKCB",635.95,831.91,559,696.84,686.5,759.96,755.31,919.82,909.01,908.4,1019.7,1045.85,512.95,1133.52,1135.48,1031.24,993.53,928.8,970.42,1161.58,796.84,817.56,807.66,699.35,1170.58,860.84,1169.65,556.9,558.19,443.59,573.19,530.43,545.71,1261.41,1024.05,994.5,634.27,1135.43,900.38,601.38,1093.83,766.72,661.59,627.01,691.67,1105.16,607.71,571.16,740.9,638.07,555.42,733.87,522.12,705.02,606.79,674.19,443.04,403.36,312.61,352.61,398.3,566.49,408.39,638.79,593.4,478.51,477.24,402.17,415.09,446.08,440.62
"PRKCD",122.5,273.59,147.05,240.06,188.07,201.62,277.92,211.57,306.11,300.32,242.67,326.61,150.45,340.2,361.4,279.03,276.07,218.02,259.93,310.44,130.34,148.93,185.69,154.76,176.62,80.82,305.43,116.63,113.35,120.84,122.5,144.66,202.03,347.78,236.86,379.04,396.89,342.51,212.2,165.57,294.55,272.12,166.41,168.1,214.83,223.82,148.52,188.47,178.52,153.54,155.67,186.65,166.32,167.74,162.53,169.23,141.77,97.36,94.03,64.38,67.04,167.22,96.33,139.91,164.47,129.07,131.82,139.29,110.54,151.57,106.32
"PSMB10",192.87,212.43,184.09,157.82,171.91,292.74,329.79,289.6,339.71,315.19,423.18,446.87,267.94,432.85,408.92,429.47,988.85,567.21,774.85,836.75,892.61,955.03,885.96,727.76,1168.61,398.31,373.91,365.92,372.7,203.44,401.32,362.46,236.86,571.36,1012.9,890.95,745.55,853.92,884.17,271.19,469.21,342.28,866.97,292.49,505.72,468.54,142.45,183.87,268.36,203.39,207.56,144.23,150.18,104.68,140.86,173.75,139.8,216.13,158.75,131.68,163.66,151.29,137.03,159.7,263.8,124.35,135.16,141.25,173.71,212.97,163.57
"PSMB5",79.49,94.53,87.55,95.58,91.15,118.26,103.72,93.03,123.19,87.72,108.78,134.42,107.46,99.89,115.05,113.15,233.95,157.75,207.95,226.15,244.88,224.96,209.19,207.65,303.19,167.41,127.37,83.1,87.59,91.78,100.56,90.01,81.28,157.33,259.15,232.51,307.86,182.98,219.57,98.01,121.37,99.26,214.31,132.8,164.11,140.21,104.57,80.44,72.34,99.7,96.09,91.2,80,50.45,79.46,55.2,102.39,85.59,91.59,52.67,72.96,67.11,80.05,91.86,73.53,61.39,83.43,92.2,77.83,76.75,56.23
"PSMB7",557.76,563.87,573.59,486.79,534.2,455.59,550.53,495.17,369.58,501.03,674.22,633.17,577.43,526.95,513.97,636.49,645.71,460.86,505.01,511.92,1064.42,1062.3,752.84,659.2,1012.6,963.3,791.64,500.04,448.27,463.48,457.09,475.78,316.97,386.43,640.9,451.33,400.59,422.27,518.72,473.87,600.94,444.11,571.48,711.06,767.04,681.91,457.67,459.68,448.04,518.43,541.97,386.02,512.99,364.49,413.56,396.37,888.04,751.09,602.02,880.8,676.33,507.34,557.63,500.29,505.03,396.66,400.48,502.22,412.83,506.52,493.78
"PSMB8",1195.02,1331.27,956.36,847.99,774.19,2429.15,2269.93,2354.32,2344.39,2097.8,2961.09,2873.44,1793.9,2918.5,2923.73,3098.87,4195.58,3068.24,3587.08,4169.34,2341.14,2547.44,2203.72,2152.92,3371.42,1925.16,2887.16,1258.85,1014.18,559.84,1023.88,1082.56,717.55,3726.26,4344.2,4079.6,4655.06,4712.99,3779.84,1466.34,3294.8,1945.03,2435.3,1667.53,2395.49,2800.78,951.72,1111.28,1684.83,1152.52,1274.2,782.65,867.39,686.11,702.51,1094.09,632.07,996.11,686.28,718.39,730.55,1038.56,746.22,945.47,1259.04,876.75,630.76,670.94,830.18,1014,768.79
"PSMB9",600.77,910.87,473.69,633.49,466.13,1060.45,1521.27,1260.44,1179.66,914.35,1173.91,1753.31,919.88,1580.85,1245.52,1035.1,3133.43,1799.11,2534.97,2384.83,1834.6,2262.08,1820.03,1431.03,2460.86,928.67,1684.63,753.71,696.44,460.42,717.63,858.33,788.37,2925.81,2410.35,2401.26,2514.84,3415.69,2444.74,825.95,1423.9,1010.59,1453.88,853.94,1336.85,1098.19,571.34,624.02,802.74,650.04,778.35,462.38,402.82,317.83,456.9,598.17,474.54,527.48,435.95,405.29,358.87,692.75,332.41,428.22,750.78,527.31,528.97,459.06,400.43,659.05,490.72
"PSMC2",419.62,407.06,515.22,442.33,422.29,370.29,437.5,528.18,462.91,477.25,441.11,437.44,502.92,419.82,408.92,473.19,352.49,535.3,415.89,312.5,933.1,593.64,1061.59,786.53,449.39,542.62,488.95,264.6,304.85,541.49,193.81,230.66,364.58,287.06,296.77,293.07,270.77,258.05,307.99,392.99,384.84,357.69,337.7,398.39,469.8,384.93,303.1,286.15,306.86,293.11,224.86,303.3,496.15,393.5,213.1,243.43,781.71,574.55,634.99,330.67,626.05,586.96,606.48,518.67,238,399.81,689.16,437.48,510.97,206.25,442.67
"PSMD7",242.39,264.7,257.05,224.5,242.29,143.46,280.58,282.1,225.85,202.2,231.91,311.28,242.15,227.28,260.11,232.74,240.19,320.83,235.18,224.09,420.63,329.11,368.03,293.85,383.65,401.92,434.17,187.33,167.46,189.67,167.29,179.22,106.82,143.53,196.45,168.03,129.82,168.91,223.99,205.54,269.39,228.47,231.35,253.83,290.19,353.58,180.34,186.17,211.19,207.37,226.78,226.95,241.41,204.32,191.43,208.14,289.45,271.76,217.36,200.45,242.53,296.89,275.42,312.33,194.79,184.17,243.63,166.75,254.92,167.88,185.04
"PTAFR",224.15,251.35,111.13,404.55,230.76,298.55,364.36,354.12,350.91,310.73,307.23,291.23,100.3,422.72,432.68,560.62,1016.92,1242.54,1324.42,1208.86,784,337.44,400.47,324.21,584.8,54.84,471.15,255.85,325.46,408.41,232.2,361.66,470.24,2150.19,395.69,1645.13,1550.45,982.95,1016.8,133.22,353.75,335.44,295.48,84.05,119.74,350.97,81.84,128.71,133.01,99.7,92.25,84.84,76.49,74.41,97.52,79.64,74.82,46.01,50.07,20,47.32,200.2,109.9,125.78,123.84,147.96,160.19,147.13,110.54,125.67,108.37
"PTGDR2",20,26.69,20,25.56,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,29.08,20.57,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21.39,20,20,20.43,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"PTGER1",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"PTGER2",20,24.47,23.57,23.34,23.08,20,20,20,20,20,25.1,20,20,20,20,20,46.79,20,20,20,28.63,33.33,43.63,30.36,38.27,25.26,20,37.18,28.34,20,43.88,32.15,24.38,20,29.26,20,74.18,20,36.84,20,35.52,20,29.22,43.71,20,20,31.83,20,23.34,41.87,20,20,20,20,20,20,20,22.47,20,20,20,20,20,31.09,20,20,40.05,20,20,21.11,20
"PTGER3",61.25,81.19,48.27,36.68,39.23,44.59,58.51,31.51,20,32.71,35.86,47.16,30.09,20,20,38.58,171.57,63.81,64.36,41.12,45.42,120.81,66,65.63,56.91,20,45.2,104.24,54.96,67.3,127.98,106.89,41.8,20,45.98,20,20,56.3,88.42,56.14,65.13,40.22,65.75,82.37,45.08,34.84,34.86,50.57,28,45.86,38.44,20,34.39,20,36.12,44.34,20,20,20,35.11,20,25.03,20,31.09,44.5,31.48,40.05,20,33.84,51.8,36.8
"PTGER4",327.1,311.41,203.17,303.41,350.75,281.11,296.54,210.07,339.71,298.84,447.09,361.98,265.07,418.38,415.17,446.19,329.1,264.11,336.68,337.17,258.7,308.28,465.35,331.07,446.45,303.06,308.16,309.06,423.36,321.22,534.79,258.78,225.25,251.18,320.45,400.54,333.83,626.37,266.73,302.59,266.43,332.02,253.27,379.9,274.7,313.52,224.29,298.79,315.03,370.88,249.84,252.4,296.85,213.15,274.5,204.52,224.47,278.18,211.26,239.95,188.31,237.74,199.45,236.01,314.11,181.02,213.59,176.56,256.05,356.87,206.51
"PTGFR",20,26.69,20,20,20,20,29.26,20,20,20,20,20,31.52,20,20,38.58,20,274.74,210.42,41.12,67.14,46.87,399.35,234.1,58.87,20,36.98,20,20,20,20,20,20,20,20,20,20,20,20,20,29.6,20,20,58.83,20,20,20,20,20,47.86,20,20,20,20,20,20,20,20,20,20,20,20,29.85,35.33,20,20,33.37,20,24.82,20,20
"PTGIR",31.28,20,26.94,26.67,31.15,20,29.26,45.02,39.2,55.01,45.43,27.12,31.52,40.53,45.02,34.72,20,44.31,54.46,80.18,31.6,20,38.03,30.36,28.45,20,20,20.41,40.36,47.42,26.51,30.54,37.15,77.29,43.19,91.83,20,20,20,33.3,20,31.66,61.69,33.62,38.03,20,34.86,26.43,24.5,20,20,20,20,31.53,20,20,20,29.96,20,20,20,28.44,31.21,29.68,24.51,34.63,45.05,20,33.84,20,37.83
"PTGS1",106.86,77.85,83.06,122.25,124.61,77.55,87.77,114.04,119.46,130.83,114.76,66.03,117.49,108.58,132.56,108.01,113.86,202.07,138.63,205.59,144.16,86.44,134.24,156.72,84.38,74.32,76.7,66.33,108.2,113.19,80.45,76.35,113.79,118.69,69.66,130.91,89.02,49.26,66.31,142.73,94.73,349.13,191.58,152.97,131.71,58.35,169.73,136.76,108.51,109.67,103.78,220.58,89.83,146.3,104.74,115.83,72.85,43.87,41.52,49.75,36.48,78.49,61.05,105.99,51.6,58.24,100.12,70.62,72.19,56.6,69.52
"PTGS2",337.52,258.02,120.11,425.66,213.45,191.93,178.19,195.07,214.65,138.27,203.22,196.91,78.81,312.7,200.08,343.32,371.21,487.44,698.11,339.22,85.9,187.47,184.58,92.07,94.2,170.29,219.14,795.26,790.91,1665.76,609.76,827.79,1363.11,1026.79,161.62,918.3,426.56,387.08,386.09,83.74,187.98,96.7,74.68,68.92,35.22,96.67,245.51,106.88,191.35,155.53,96.09,271.49,87.72,133.69,232.96,106.78,277.64,94.15,235.68,155.09,119.29,216.13,108.54,141.33,149.64,151.11,487.25,266.8,242.51,709.9,218.78
"PTK2",337.52,261.36,316.54,504.57,533.05,368.35,375,451.66,511.44,617,414.81,365.52,490.03,521.16,572.74,333.03,293.22,272.97,467.88,546.87,166.87,139.56,177.86,204.71,103.03,88.03,171.2,303.23,248.18,278.39,301.68,220.21,313.49,314.66,295.37,281.35,244.81,302.63,284.41,242.65,264.95,250.72,190.77,282.4,218.35,122.8,330.37,199.96,236.86,398.8,294.05,439.05,205.62,441.43,413.56,285.96,584.81,217.2,582.48,500.39,405.2,370.83,248.29,385.82,296.05,311.66,365.44,237.38,328.24,371.26,382.35
"PTPN2",228.06,219.1,216.64,262.29,265.37,234.58,259.31,274.6,330.38,355.33,368.19,320.71,256.48,359.02,341.39,376.75,318.18,423.63,398.56,359.78,285.36,219.75,284.13,257.61,214.88,306.67,416.36,184.42,130.53,136.14,175.52,167.17,150.94,364.35,252.18,488.46,408.01,272.13,282.94,208.39,333.03,221.63,160.73,240.38,279.63,254.3,189.43,167.78,177.35,249.25,222.94,205.74,188.78,140,171.56,222.62,189.03,157.28,157.53,144.85,131.12,175.18,177.74,151.22,186.4,160.55,175.21,147.13,155.66,186.11,202.42
"PTPN22",178.54,139.02,204.29,177.82,215.76,112.44,140.96,109.54,83.99,63.93,169.75,120.27,121.79,105.68,92.54,291.88,160.65,269.42,185.67,119.24,217.23,277.03,422.85,359.47,173.67,201.32,184.9,275.53,144.27,93.31,172.78,196.9,166.03,160.09,101.71,101.6,196.59,147.79,194.52,175.09,177.62,89.85,118.52,147.93,182.43,160.24,115.18,81.59,136.51,207.37,172.97,146.35,87.72,93.33,117.39,171.04,88.61,134.81,79.37,83.4,103.52,114.89,100.4,89.04,89.01,91.3,86.77,84.36,87.98,123.75,114.5
"PTPN6",129.02,176.84,99.9,162.26,115.38,98.87,121.01,138.05,147.46,121.91,133.89,148.57,91.7,121.6,146.31,162.02,522.5,434.27,480.26,442.02,366.33,277.03,325.52,254.67,443.5,78.65,154.77,244.92,262.78,270.74,240.43,286.11,271.69,303.62,373.4,478.69,489.62,419.92,484.82,78.98,171.7,142.05,350.68,122.71,122.56,129.76,66.68,90.79,99.18,129.61,92.25,91.2,83.51,69.37,97.52,98.64,90.58,73.83,52.51,51.21,50.28,73.94,81.41,94.69,109.65,86.57,100.12,121.63,107.16,96.89,87.92
"PTPRC",4873.9,5497.47,4348.5,4592.25,4080.93,3136.76,4349.71,4575.1,3490.46,3740.65,6400.34,6075.84,4089.3,5055.26,4812.02,6269.74,6386.95,5484.19,5064.99,4886.85,4727.7,4784.52,3759.75,2431.09,3782.54,3072.46,4438.94,4369.91,3466.76,2875.69,3838.63,3721.84,3262.63,4915.9,4246.67,5337.87,3408.76,4947.58,4870.33,3592.11,5130.17,3528.95,2798.97,3723.37,4188.76,3875.45,2764.23,2469.65,3185.3,3449.58,2396.56,2776.4,1976.89,2064.62,2638.46,2816.21,1984.81,2420.19,1714.48,1827.44,1929.41,3878.97,2649.77,3123.3,3799.04,2702.66,2759.98,1808.78,2936.08,3417.1,3192.72
"PYCARD",291.91,320.31,202.05,287.85,237.68,378.04,361.7,424.65,502.1,328.57,454.26,466.92,396.89,505.24,511.46,516.91,706.54,673.56,737.72,746.29,722.78,727.99,797.59,671.93,1076.38,540.46,861.49,257.31,243.88,238.62,177.35,258.78,305.36,930.19,975.29,890.95,916.17,757.74,750.07,414.88,828.88,511.71,616.94,331.15,740.98,863.05,209.14,274.66,340.7,225.32,342.09,152.71,141.76,138.73,135.44,197.28,324.89,299.58,208.81,125.83,207.04,233.19,176.38,247.32,277.99,193.61,191.9,331.54,178.22,212.01,173.8
"RAC1",381.83,290.28,417.56,367.87,423.44,337.33,345.74,426.15,475.97,591.72,447.09,396.17,326.69,447.33,537.73,447.47,268.27,239.29,311.92,296.05,240.93,250.99,224.85,223.32,249.23,303.06,332.82,217.22,224.99,296.75,235.86,203.33,326.26,273.26,372,349.74,300.45,326.09,315.36,337.8,352.27,548.51,313.34,334.52,429.65,264.75,394.02,394.18,323.2,336.98,317.11,602.37,345.97,461.61,377.44,477.81,387.9,209.71,195.38,276.53,170.56,301.44,307.99,407.02,330.24,261.29,388.8,290.35,291.01,284.92,243.31
"RAF1",147.26,219.1,139.19,180.04,113.07,127.95,162.23,159.06,145.59,118.94,150.62,168.61,90.27,167.93,135.06,136.3,279.19,262.33,354,273.43,175.76,137.47,261.76,179.25,260.02,115.45,147.92,199.73,184.63,218.74,194.72,231.46,337.87,253.94,181.12,236.41,237.39,234.59,243.15,99.91,133.21,114.67,132.32,94.13,105.65,147.18,81.84,89.64,96.84,119.64,94.17,97.57,98.25,103.42,113.77,92.31,72.85,71.69,67.16,55.6,63.1,112.62,94.97,128.61,105.13,86.57,123.48,129.48,78.96,118,104.28
"RAG1",33.88,20,32.55,25.56,35.77,38.77,30.58,46.52,20,20,32.28,24.76,34.39,40.53,20,36,20,99.26,54.46,20,34.56,31.24,96.2,84.24,47.1,20,20,20.41,66.98,44.36,20,24.11,34.83,20,27.87,44.94,20,20,20,20,20,20,20,20,20,20,20,20,23.34,20,20,20,20,20,20,20,20,31.03,39.08,45.36,63.1,85.31,40.7,52.29,30.96,20,36.71,20,49.63,35.49,42.94
