"gene","avexpr","lfc","padj","pvalue","Comparison","Significant","Regulation"
"ARHGDIB",12.2373191280361,-0.400035011885022,0.206995902309169,0.0573644737618065,"Baseline",FALSE,"Neither"
"FCAR",8.33490592078149,0.77441423016792,0.195718759454233,0.0526554256572159,"Baseline",FALSE,"Neither"
"ATG5",8.07559014010994,-0.29419055855913,0.199818664887086,0.0543746951195241,"Baseline",FALSE,"Neither"
"CD1D",7.08207738754522,-0.510068735850317,0.204871676997386,0.0564337674533701,"Baseline",FALSE,"Neither"
"FAS",9.13604107587156,-0.404300862154665,0.200033118703295,0.0547669974413028,"Baseline",FALSE,"Neither"
"MAPK14",7.25219266618855,-0.597544554669764,0.207054800027138,0.0577264634466311,"Baseline",FALSE,"Neither"
"SOCS3",7.4700477417241,0.987362520337526,0.2172581424049,0.0609338362671506,"Baseline",FALSE,"Neither"
"LILRB2",8.2833808483501,0.405013425096634,0.218384304592046,0.0616142695760531,"Baseline",FALSE,"Neither"
"CEACAM1",6.79506871534444,-0.483281338413561,0.222679956420329,0.0635697371416967,"Baseline",FALSE,"Neither"
"CD27",8.33342920143009,0.534813592493848,0.222108493438943,0.0630357994734896,"Baseline",FALSE,"Neither"
"CCR3",7.51963066481632,-0.69395850037371,0.223261795234005,0.0645948381218224,"Baseline",FALSE,"Neither"
"IL5RA",5.50117340691715,-0.370028974413222,0.195718759454233,0.0529322855285238,"Baseline",FALSE,"Neither"
"MAP4K1",8.55946666912223,0.556522302041781,0.223261795234005,0.0648262093907237,"Baseline",FALSE,"Neither"
"RPS6KA5",8.7894096248633,-0.386264336207047,0.224407949648267,0.0655615879606789,"Baseline",FALSE,"Neither"
"HLA-DQA1",8.91282627521803,-0.450413549484566,0.230839047161153,0.0678258302176344,"Baseline",FALSE,"Neither"
"CD36",7.15099932776236,0.860537211949462,0.236423006934399,0.0709398052409464,"Baseline",FALSE,"Neither"
"GTF3C1",6.55136180687012,0.286043040326821,0.236423006934399,0.0701350521085921,"Baseline",FALSE,"Neither"
"TGFB1",10.5201111809768,0.425041750965372,0.236423006934399,0.0710782836871677,"Baseline",FALSE,"Neither"
"PTPN2",8.43590475852141,-0.346574733649994,0.236423006934399,0.0714961132973453,"Baseline",FALSE,"Neither"
"IFITM1",12.9942928373949,-0.335796478272778,0.259425302427819,0.084770646517361,"Baseline",FALSE,"Neither"
"LITAF",9.82331668742236,0.552918734807305,0.237369455409282,0.0729148243661235,"Baseline",FALSE,"Neither"
"TNFAIP3",8.84637132421385,0.564868562144222,0.243579070962729,0.075228928427554,"Baseline",FALSE,"Neither"
"CRADD",6.19566510079976,0.31207595576103,0.237070496981954,0.0724272136021662,"Baseline",FALSE,"Neither"
"MAFK",5.60281156677028,0.492748003491094,0.223261795234005,0.0648540106355874,"Baseline",FALSE,"Neither"
"IKBKB",8.43604576682837,0.34139829530884,0.250901229643761,0.077909229906076,"Baseline",FALSE,"Neither"
"IL1B",6.76472048203336,-0.76422933059965,0.251753709805371,0.078658700405219,"Baseline",FALSE,"Neither"
"HLA-B",13.1639008569051,0.62321970033654,0.271182003621593,0.095177171866205,"Baseline",FALSE,"Neither"
"PRKCB",10.0854972437499,-0.249793944764301,0.251753709805371,0.0791329501241122,"Baseline",FALSE,"Neither"
"ITGA5",9.68936826111192,0.530776801514994,0.255296596379512,0.0814050916669229,"Baseline",FALSE,"Neither"
"CD86",7.66644808291265,-0.405994474011214,0.259425302427819,0.083999587330204,"Baseline",FALSE,"Neither"
"BATF",6.89093412985433,0.286558137118985,0.259425302427819,0.0865376787869158,"Baseline",FALSE,"Neither"
"ICOS",7.33691351769753,-0.414895097547867,0.259425302427819,0.0872006744227634,"Baseline",FALSE,"Neither"
"CD79A",8.04693978251898,0.412333780854816,0.259425302427819,0.0866779816077523,"Baseline",FALSE,"Neither"
"FASLG",7.51990526538606,-0.627304241416327,0.259425302427819,0.0883518559186563,"Baseline",FALSE,"Neither"
"RIPK2",6.75182860078584,-0.33094473444599,0.259425302427819,0.0882707807286721,"Baseline",FALSE,"Neither"
"CD4",5.5036643269599,0.432829497184539,0.236423006934399,0.0718347032755604,"Baseline",FALSE,"Neither"
"NFATC2",7.64815107380769,0.533674136340661,0.259425302427819,0.0883488426306993,"Baseline",FALSE,"Neither"
"IL10RB",8.68147630947446,-0.319701085593021,0.259425302427819,0.0873017150626321,"Baseline",FALSE,"Neither"
"GRB2",9.55252098091825,0.251283215439349,0.259425302427819,0.0862252406241119,"Baseline",FALSE,"Neither"
"IFNG",6.03508322278528,-0.489501127594426,0.253339750265227,0.0803581845582522,"Baseline",FALSE,"Neither"
"CD70",5.31981788285982,0.267568378566271,0.236423006934399,0.0703162808325689,"Baseline",FALSE,"Neither"
"CDKN1A",8.05459990867619,0.442555018394086,0.262171061553988,0.0899941125500266,"Baseline",FALSE,"Neither"
"CTNNB1",8.71724548554919,0.236797071229653,0.262171061553988,0.0901623350252448,"Baseline",FALSE,"Neither"
"RELB",5.93647733716049,0.43435488663048,0.257957872543203,0.0826843264245326,"Baseline",FALSE,"Neither"
"SOCS1",6.05588627998721,0.693016478877992,0.259425302427819,0.0853774838779132,"Baseline",FALSE,"Neither"
"CD46",9.76150493715476,-0.365424223953813,0.262599834089383,0.0907481897437433,"Baseline",FALSE,"Neither"
"SELL",12.6795870962278,-0.555388723884411,0.296057731357402,0.107332185707282,"Baseline",FALSE,"Neither"
"ITGAM",8.70866863243689,0.395164931349175,0.268797580340602,0.0933387257276213,"Baseline",FALSE,"Neither"
"HDAC4",7.74366071587744,0.488179916182323,0.271182003621593,0.0955248794059368,"Baseline",FALSE,"Neither"
"CD99",11.412750934107,0.552126900278539,0.282322635551641,0.100616583653559,"Baseline",FALSE,"Neither"
"STAT3",9.56994560398157,-0.235939511188258,0.271182003621593,0.0947108392631893,"Baseline",FALSE,"Neither"
"MYC",7.35968793784263,-0.526297732409503,0.278947188225779,0.0987258829780721,"Baseline",FALSE,"Neither"
"CLEC6A",5.41974939044541,-0.287327385612632,0.251753709805371,0.0794348099385894,"Baseline",FALSE,"Neither"
"KCNJ2",8.73640768398093,-0.652960277321569,0.282322635551641,0.100863178644493,"Baseline",FALSE,"Neither"
"TGFB2",5.80547368846998,-0.43176067963769,0.259425302427819,0.0876228933715043,"Baseline",FALSE,"Neither"
"CD83",6.77033819603186,0.401247908264994,0.296057731357402,0.107747221095014,"Baseline",FALSE,"Neither"
"STAT2",8.25160074241434,-0.352580384613367,0.295829903816114,0.106676559639868,"Baseline",FALSE,"Neither"
"RAC1",9.09129326603646,-0.387095635135378,0.295829903816114,0.106274762853475,"Baseline",FALSE,"Neither"
"FCGR1A",8.36603595258621,-0.711898176210354,0.300343386215814,0.109808349885248,"Baseline",FALSE,"Neither"
"SMAD7",7.22748486184842,0.557705338831346,0.303526933113908,0.112093552217663,"Baseline",FALSE,"Neither"
"CCR7",7.63118538138946,0.450657020678061,0.303526933113908,0.111922105328759,"Baseline",FALSE,"Neither"
"ICAM1",7.57243033237382,0.565641527334856,0.304669765214545,0.113424637133295,"Baseline",FALSE,"Neither"
"PTAFR",8.99528748066523,0.534149030053683,0.303526933113908,0.112492452673268,"Baseline",FALSE,"Neither"
"PLAUR",7.00522569828611,0.659336155155072,0.314134471325161,0.118214160689106,"Baseline",FALSE,"Neither"
"CCND3",10.1674002635452,-0.298512882929577,0.305992697589893,0.114427987078691,"Baseline",FALSE,"Neither"
"TNFSF12",7.83677323715068,0.250162170859459,0.314134471325161,0.119792576995838,"Baseline",FALSE,"Neither"
"STAT1",10.4886510062565,-0.339491136274496,0.314134471325161,0.119181349897223,"Baseline",FALSE,"Neither"
"TLR8",8.34284984538987,-0.533988685558006,0.314134471325161,0.11985803902007,"Baseline",FALSE,"Neither"
"PTPRC",12.8436704221729,-0.248120086909463,0.352213479831914,0.145226009147091,"Baseline",FALSE,"Neither"
"XBP1",8.63821162811599,-0.386478802949304,0.317538019777009,0.122456231333037,"Baseline",FALSE,"Neither"
"DAXX",7.13658461521528,0.274922119607591,0.324724184253768,0.126406440592998,"Baseline",FALSE,"Neither"
"POU2F2",6.42594992599842,0.386634940857407,0.320420153794032,0.124102630517889,"Baseline",FALSE,"Neither"
"C4A",6.31129407327358,0.257871785870327,0.316784372594699,0.121636737390285,"Baseline",FALSE,"Neither"
"GUSB",6.68409272297591,0.356197797883925,0.324724184253768,0.128653190615343,"Baseline",FALSE,"Neither"
"CD5",7.54111206634814,0.381166081235136,0.324724184253768,0.129564407406762,"Baseline",FALSE,"Neither"
"GP1BB",9.52439175769346,0.642449032042318,0.324724184253768,0.129429340725381,"Baseline",FALSE,"Neither"
"LAG3",6.28526736912334,0.434171962411661,0.324724184253768,0.127755447130106,"Baseline",FALSE,"Neither"
"CD1A",6.59697584329576,-0.385835871256631,0.335503514653807,0.134425448275315,"Baseline",FALSE,"Neither"
"LILRA3",8.81023816946578,0.956783242707946,0.336120479714781,0.135233782322641,"Baseline",FALSE,"Neither"
"FN1",9.2010695157778,-0.511658070626426,0.337967735484948,0.136762880732851,"Baseline",FALSE,"Neither"
"STAT5A",8.7136688517862,0.270853874048834,0.339446760142203,0.1388388250999,"Baseline",FALSE,"Neither"
"RARRES3",9.17685671559632,-0.339945351155604,0.337967735484948,0.137669661866991,"Baseline",FALSE,"Neither"
