"gene","Early.lfc","Early.padj","Late.lfc","Late.padj","Middle.lfc","Middle.padj"
"CD80",1.13519689025605,0.00232306732165673,-0.467040801120585,0.180278521873456,0.622996831034611,0.0937077177694997
"CD81",0.389773780597551,0.0776071161023624,0.345058188851587,0.0764718258205716,0.1859058539216,0.402290848008988
"CD82",-0.728870874633319,0.0899773327928709,0.642228453893066,0.0816303856837448,0.469997919277382,0.244639351069678
"CD83",0.00497647661823919,0.981022249421476,-0.389587018695229,0.132262914679123,0.0823413359501819,0.792570430179125
"CD86",0.416829078421223,0.090325478583301,-0.0918927875500959,0.708808303320469,0.0838242134622327,0.752230535076574
"CD8A",-0.666402784537729,0.187761058173863,0.727709810489211,0.0764718258205716,0.14663845124953,0.770594085562213
"CD8B",-0.651371281027443,0.247841389688763,1.18169726683496,0.00838886822503174,-0.810726950051276,0.10279593626846
"CD9",0.165276698378573,0.723661329273465,-1.91216295123762,4.93409440444998e-07,-1.69845976601659,1.48299580231197e-05
"CD96",-0.863097386809528,0.0461312036000877,-0.82805729495114,0.0300705151055952,-1.08147465342984,0.0102091016920371
"CD97",0.266200368594054,0.353758657146475,0.736743518852329,0.00181128248048067,0.873438247189938,0.000738169703509292
"CD99",0.0298123170948301,0.955081795474887,-0.423931840735237,0.368152067205792,-0.44976797905065,0.380728809021563
"CDC42",0.0662227774324364,0.769943133628989,-0.359539171416545,0.0218443093752737,-0.556625361060059,0.00151088102800612
"CDH5",-0.153581549960544,0.343248087991379,-0.109400872900573,0.428784115456563,-0.58141826051902,0.000101558803356786
"CDKN1A",0.596500124783187,0.0640389124791452,0.0213266862009149,0.957387091792905,0.240322633164522,0.46410409769691
"CEACAM1",-0.205296317661574,0.565171598495881,-0.520564371274543,0.0461013285851995,-0.0148754301050413,0.971950775414631
"CEACAM6",-0.082252841829372,0.807255044534308,0.0909426507746272,0.756819328221974,0.00147992566098321,0.997422575473561
"CEACAM8",0.0945004867754058,0.888402362749892,0.0267970867828815,0.966431446998122,0.997616592379886,0.0683933839322765
"CEBPB",0.234781614647543,0.625853707978663,1.80150935345511,2.87858546802358e-06,2.31024459689366,2.31486526977992e-07
"CFB",0.245746365308711,0.658895970388226,1.70135805988638,0.000178746876232622,1.25014461972873,0.0104507998195378
"CFD",-0.262757810088743,0.751631315658612,-1.06615755018129,0.0675169690367942,-0.217896992230379,0.76028107084226
"CFH",-0.13097570746176,0.638044243682273,0.752100455685893,0.00126874343481728,0.135371184342535,0.613119308487153
"CFI",-0.430729115730096,0.434353831200456,-0.436092776471638,0.331987175039813,-0.780404205553429,0.0952552865933652
"CFL1",0.0650908454011194,0.847268735268289,0.68132792972964,0.00488023331839212,-0.129885085277001,0.65139623513916
"CFP",0.319517853027628,0.352793147398911,-0.0737630983862587,0.81918179633899,0.497552137438019,0.0990700510053558
"CHUK",-0.0695372373043774,0.834767939265828,-0.0294700997899273,0.917757516540123,-0.238420370261529,0.367897603403649
"CIITA",0.639868182834871,0.0956948702416055,-0.492051892123979,0.155695708578463,0.0091291014990178,0.985653141849993
"CISH",1.2060915915794,0.00207267605885075,2.22878857134787,1.43542806644555e-07,2.82990466065216,5.33638267766724e-09
"CLEC4A",-0.095872282471273,0.877230506390477,0.338921016406069,0.456627791943482,0.134546885973261,0.799047063184896
"CLEC4E",-0.0606554382872559,0.935771745529293,1.31279339172626,0.0106792005266806,0.989328285947186,0.0768890656717627
"CLEC6A",0.439815339244411,0.388446829729715,1.4338523580091,0.000775538066753086,1.21947087774446,0.00815529623527038
"CLEC7A",1.29842426700673,0.0194559918151667,-0.89136802781973,0.075941967357049,1.28383317670299,0.0189824531358946
"CLU",0.282808064917759,0.407852698468104,0.044276303061018,0.890140931472599,-0.463887236957062,0.112160061518022
"CMA1",-0.277344361688077,0.576316574130667,1.24963921734364,0.000599604000559881,0.578990805978354,0.129277922018414
"CMKLR1",0.276633244212694,0.509872457652671,0.554597721943801,0.0755813137428625,1.00930690533864,0.00283779630526959
"CR1",-0.836912460517627,0.105597396921853,-0.706486416085353,0.12828034438978,-1.07981013819605,0.0287930968413637
"CR2",-0.337164251046713,0.090325478583301,-0.204448540983078,0.265059544461365,-0.664213016810244,0.000773454801468574
"CRADD",0.0695880776686124,0.805534302030722,0.801526572528265,0.000132479524842637,0.375467237510977,0.0836388343400638
"CREB1",-0.205224710524289,0.267543514317643,-0.949000479090303,1.50321991042831e-07,-0.51867505144841,0.00178993200080139
"CRP",-0.153581549960544,0.449302391120964,-0.0460367227279894,0.811916454099847,-0.58141826051902,0.000983145769967026
"CSF1",1.11636167086835,5.28505300351875e-05,0.737420421986523,0.00352989851628002,1.24443161098857,2.35050944396147e-05
