"gene","avexpr","lfc","padj","pvalue","Comparison","Significant","Regulation"
"IL13RA1",8.09826197151501,0.64901138977934,0.193267535498406,0.0584358104104077,"Early",FALSE,"None"
"IL1RL1",5.69504831291442,-0.559975008304469,0.1845648983517,0.0545714901681455,"Early",FALSE,"None"
"C3AR1",6.76254362768786,0.387149206904377,0.203534808634473,0.0638707558476381,"Early",FALSE,"None"
"CCR2",7.78305413921688,0.365419171723762,0.196806632977241,0.060112486223174,"Early",FALSE,"None"
"IL21R",6.77443366758413,-0.552919171935325,0.206177925140438,0.0649877420944754,"Early",FALSE,"None"
"TICAM1",5.64681722746638,0.405495747969963,0.187863885505198,0.0563329642728279,"Early",FALSE,"None"
"IL1R1",7.05417420240891,-0.592323037863968,0.207411049386674,0.0656657018281382,"Early",FALSE,"None"
"HLA-C",8.20392955774461,0.650271540788831,0.201606457280388,0.0627032635614038,"Early",FALSE,"None"
"BCL2L1",11.6949236076088,-0.556841149151053,0.201670518494858,0.0630044576608761,"Early",FALSE,"None"
"FN1",8.68927889996582,-0.505385266674926,0.196905882657968,0.0604174256412175,"Early",FALSE,"None"
"ITGA6",6.75113644542938,-0.314263208077858,0.213773953822924,0.0682764789755224,"Early",FALSE,"None"
"NOTCH1",7.59778237812575,-0.443938164996239,0.213176312698063,0.0677882835357857,"Early",FALSE,"None"
"CD4",4.90368089609162,-0.264841442553926,0.172406698580982,0.050076753728307,"Early",FALSE,"None"
"IL15",7.64416021726647,0.45855660364317,0.216030381494505,0.0695997463392338,"Early",FALSE,"None"
"CCR3",7.40051742922302,-0.600478507259591,0.217544415188053,0.0703909404792585,"Early",FALSE,"None"
"TNFAIP3",8.84664355469971,0.41835921287502,0.214100547205156,0.0686793945009565,"Early",FALSE,"None"
"MAP4K2",7.50374517511386,-0.334710715026308,0.221744623978664,0.0726778056275956,"Early",FALSE,"None"
"MEF2C",6.13664417255765,0.310807033859009,0.238654334416006,0.0812157009728109,"Early",FALSE,"None"
"CD7",9.49060012572411,-0.598179845785825,0.219593303783469,0.0713601670593422,"Early",FALSE,"None"
"CD19",7.05569990795745,-0.542777604329461,0.228481376727971,0.0752044698853572,"Early",FALSE,"None"
"PAX5",5.09313893293081,-0.356931807689522,0.201606457280388,0.062442812506399,"Early",FALSE,"None"
"TLR5",7.59252832920588,0.681705271664754,0.235707252416846,0.0782403432011288,"Early",FALSE,"None"
"HDAC4",7.81568783970424,0.345403341258534,0.235478284713148,0.0778359183779862,"Early",FALSE,"None"
"LILRA1",7.09710610711775,0.476566839668937,0.235772017197308,0.0789195036643708,"Early",FALSE,"None"
"KLRC1",7.7537156099146,-0.664601537609537,0.238654334416006,0.0807940968156688,"Early",FALSE,"None"
"MAPK14",7.7260546677343,0.351961185948611,0.238654334416006,0.0810770081673367,"Early",FALSE,"None"
"AGER",5.64478252604702,-0.415094310390148,0.235758717340232,0.0785862391134105,"Early",FALSE,"None"
"KIR3DL2",6.86540197443303,-0.462428742683555,0.257947287241661,0.0906592976079477,"Early",FALSE,"None"
"HMGB2",8.94365432063398,-0.347934205682829,0.239039780640765,0.0816802597726463,"Early",FALSE,"None"
"CYSLTR1",6.98212881410984,0.526806344328548,0.259967394464656,0.0924570231359654,"Early",FALSE,"None"
"CTSC",8.6727380199438,0.4201010782391,0.247841389688769,0.0853665877317823,"Early",FALSE,"None"
"CD8B",8.10500841826228,-0.651371281027439,0.247841389688769,0.0857247763498112,"Early",FALSE,"None"
